,feature_name,importance
1148,Column_1148,0
1147,Column_1147,0
1146,Column_1146,0
1145,Column_1145,0
1144,Column_1144,0
1143,Column_1143,0
1142,Column_1142,0
1141,Column_1141,0
1149,Column_1149,0
685,Column_685,0
687,Column_687,0
683,Column_683,0
244,Column_244,0
243,Column_243,0
242,Column_242,0
241,Column_241,0
240,Column_240,0
239,Column_239,0
238,Column_238,0
245,Column_245,0
237,Column_237,0
235,Column_235,0
234,Column_234,0
233,Column_233,0
232,Column_232,0
231,Column_231,0
230,Column_230,0
229,Column_229,0
236,Column_236,0
246,Column_246,0
247,Column_247,0
248,Column_248,0
265,Column_265,0
264,Column_264,0
263,Column_263,0
262,Column_262,0
261,Column_261,0
260,Column_260,0
259,Column_259,0
258,Column_258,0
257,Column_257,0
256,Column_256,0
255,Column_255,0
254,Column_254,0
253,Column_253,0
252,Column_252,0
251,Column_251,0
250,Column_250,0
249,Column_249,0
228,Column_228,0
227,Column_227,0
226,Column_226,0
225,Column_225,0
203,Column_203,0
202,Column_202,0
201,Column_201,0
1473,Column_1473,0
199,Column_199,0
198,Column_198,0
197,Column_197,0
196,Column_196,0
195,Column_195,0
194,Column_194,0
193,Column_193,0
192,Column_192,0
191,Column_191,0
190,Column_190,0
189,Column_189,0
188,Column_188,0
187,Column_187,0
204,Column_204,0
266,Column_266,0
205,Column_205,0
207,Column_207,0
224,Column_224,0
223,Column_223,0
222,Column_222,0
221,Column_221,0
220,Column_220,0
219,Column_219,0
218,Column_218,0
217,Column_217,0
216,Column_216,0
215,Column_215,0
214,Column_214,0
213,Column_213,0
212,Column_212,0
211,Column_211,0
210,Column_210,0
209,Column_209,0
208,Column_208,0
206,Column_206,0
267,Column_267,0
268,Column_268,0
269,Column_269,0
328,Column_328,0
327,Column_327,0
326,Column_326,0
325,Column_325,0
324,Column_324,0
323,Column_323,0
322,Column_322,0
321,Column_321,0
320,Column_320,0
319,Column_319,0
318,Column_318,0
317,Column_317,0
316,Column_316,0
315,Column_315,0
314,Column_314,0
313,Column_313,0
312,Column_312,0
329,Column_329,0
311,Column_311,0
330,Column_330,0
332,Column_332,0
349,Column_349,0
348,Column_348,0
347,Column_347,0
346,Column_346,0
345,Column_345,0
344,Column_344,0
343,Column_343,0
684,Column_684,0
341,Column_341,0
340,Column_340,0
339,Column_339,0
338,Column_338,0
337,Column_337,0
336,Column_336,0
335,Column_335,0
334,Column_334,0
333,Column_333,0
331,Column_331,0
186,Column_186,0
310,Column_310,0
308,Column_308,0
286,Column_286,0
285,Column_285,0
284,Column_284,0
283,Column_283,0
282,Column_282,0
1471,Column_1471,0
1472,Column_1472,0
279,Column_279,0
278,Column_278,0
277,Column_277,0
276,Column_276,0
275,Column_275,0
274,Column_274,0
273,Column_273,0
272,Column_272,0
271,Column_271,0
270,Column_270,0
287,Column_287,0
309,Column_309,0
288,Column_288,0
1470,Column_1470,0
307,Column_307,0
306,Column_306,0
305,Column_305,0
304,Column_304,0
303,Column_303,0
302,Column_302,0
301,Column_301,0
300,Column_300,0
299,Column_299,0
1467,Column_1467,0
297,Column_297,0
296,Column_296,0
1468,Column_1468,0
294,Column_294,0
293,Column_293,0
1469,Column_1469,0
291,Column_291,0
289,Column_289,0
185,Column_185,0
184,Column_184,0
183,Column_183,0
75,Column_75,0
74,Column_74,0
72,Column_72,0
71,Column_71,0
1508,Column_1508,0
1509,Column_1509,0
