,feature_name,importance
1849,Column_1849,0
1848,Column_1848,0
1812,Column_1812,0
1811,Column_1811,0
1810,Column_1810,0
1809,Column_1809,0
1808,Column_1808,0
1807,Column_1807,0
1806,Column_1806,0
1805,Column_1805,0
1804,Column_1804,0
1803,Column_1803,0
1802,Column_1802,0
1801,Column_1801,0
1800,Column_1800,0
1799,Column_1799,0
1798,Column_1798,0
1797,Column_1797,0
1796,Column_1796,0
1795,Column_1795,0
1794,Column_1794,0
1793,Column_1793,0
1792,Column_1792,0
1791,Column_1791,0
1790,Column_1790,0
1789,Column_1789,0
1788,Column_1788,0
1787,Column_1787,0
1786,Column_1786,0
1785,Column_1785,0
1784,Column_1784,0
1813,Column_1813,0
1782,Column_1782,0
1814,Column_1814,0
1816,Column_1816,0
1847,Column_1847,0
1846,Column_1846,0
1845,Column_1845,0
1844,Column_1844,0
1843,Column_1843,0
1842,Column_1842,0
1841,Column_1841,0
1840,Column_1840,0
1839,Column_1839,0
1838,Column_1838,0
1837,Column_1837,0
1836,Column_1836,0
1835,Column_1835,0
1834,Column_1834,0
1833,Column_1833,0
1832,Column_1832,0
1829,Column_1829,0
1828,Column_1828,0
1827,Column_1827,0
1826,Column_1826,0
1825,Column_1825,0
1824,Column_1824,0
1823,Column_1823,0
1822,Column_1822,0
1821,Column_1821,0
1820,Column_1820,0
1819,Column_1819,0
1818,Column_1818,0
1817,Column_1817,0
1815,Column_1815,0
1048,Column_1048,0
2239,Column_2239,0
1046,Column_1046,0
524,Column_524,0
212,Column_212,0
523,Column_523,0
522,Column_522,0
521,Column_521,0
520,Column_520,0
519,Column_519,0
1047,Column_1047,0
517,Column_517,0
516,Column_516,0
515,Column_515,0
514,Column_514,0
513,Column_513,0
213,Column_213,0
214,Column_214,0
215,Column_215,0
509,Column_509,0
508,Column_508,0
216,Column_216,0
506,Column_506,0
505,Column_505,0
504,Column_504,0
217,Column_217,0
525,Column_525,0
526,Column_526,0
527,Column_527,0
528,Column_528,0
548,Column_548,0
547,Column_547,0
197,Column_197,0
198,Column_198,0
199,Column_199,0
200,Column_200,0
201,Column_201,0
202,Column_202,0
203,Column_203,0
539,Column_539,0
538,Column_538,0
502,Column_502,0
537,Column_537,0
204,Column_204,0
534,Column_534,0
205,Column_205,0
206,Column_206,0
207,Column_207,0
531,Column_531,0
208,Column_208,0
209,Column_209,0
210,Column_210,0
211,Column_211,0
529,Column_529,0
536,Column_536,0
196,Column_196,0
218,Column_218,0
220,Column_220,0
472,Column_472,0
471,Column_471,0
